Year,Tropical Storms,Hurricanes,Major Hurricanes,Average Temperature
2015,11,4,1,16.06
2014,8,6,1,15.91
2013,13,2,0,15.85
2012,19,10,0,15.8
2011,19,7,2,15.77
2010,19,12,4,15.9
2009,9,3,1,15.83
2008,16,8,4,15.72
2007,14,6,2,15.83
2006,11,5,0,15.81
2005,27,15,5,15.88
2004,14,9,4,15.76
2003,16,7,2,15.83
2002,12,4,1,15.83
2001,15,9,2,15.77
2000,14,8,2,15.61
1999,12,8,5,15.6
1998,14,10,2,15.83
1997,7,3,0,15.71
1996,13,9,2,15.52
1995,19,11,3,15.64
1994,7,3,0,15.54
1993,8,4,0,15.47
1992,6,4,1,15.45
1991,8,4,1,15.6
1990,14,8,0,15.63
1989,11,7,2,15.44
1988,12,5,3,15.56
1987,7,3,0,15.52
1986,6,4,0,15.38
1985,11,7,1,15.34
1984,12,5,1,15.34
1983,4,3,0,15.52
1982,5,2,1,15.34
1981,11,7,1,15.52
1980,11,9,1,15.49
1979,8,5,2,15.41
1978,11,5,2,15.3
1977,6,5,1,15.41
1976,8,6,0,15.13
1975,8,6,1,15.24
1974,7,4,1,15.17
1973,7,4,0,15.4
1972,4,3,0,15.29
1971,13,6,1,15.2
1970,10,5,0,15.33
1969,17,12,1,15.39
1968,7,4,0,15.26
1967,8,6,1,15.29
1966,11,7,1,15.26
1965,6,4,1,15.2
1964,12,6,4,15.12
1963,9,7,1,15.38
1962,5,3,0,15.33
1961,11,8,4,15.38
1960,8,4,1,15.29
1959,14,7,1,15.34
1958,12,7,3,15.38
1957,8,3,1,15.37
1956,12,4,0,15.11
1955,14,10,3,15.17
1954,16,7,1,15.23
1953,14,7,1,15.42
1952,11,5,1,15.36
1951,12,8,2,15.31
1950,16,11,3,15.14
1949,16,7,1,15.22
1948,10,6,2,15.26
1947,10,5,1,15.31
1946,7,3,0,15.26
1945,11,5,1,15.33
1944,14,8,2,15.45
1943,10,5,1,15.35
1942,11,4,0,15.33
1941,6,4,1,15.38
1940,9,6,0,15.37
1939,6,3,1,15.3
1938,9,4,1,15.29
1937,11,4,0,15.3
1936,17,7,0,15.17
1935,8,5,3,15.12
1934,13,7,0,15.14
1933,20,11,5,15.01
1932,15,6,4,15.19
1931,13,3,1,15.23
1930,3,2,1,15.17
1929,5,3,1,14.97
1928,6,4,1,15.13
1927,8,4,0,15.12
1926,11,8,4,15.24
1925,4,1,0,15.09
1924,11,5,1,15.04
1923,9,4,0,15.03
1922,5,3,0,15.01
1921,7,5,1,15.1
1920,5,4,0,15.03
1919,5,2,1,15.01
1918,6,4,0,14.96
1917,4,2,1,14.81
1916,15,10,1,14.9
1915,6,5,2,15.14
1914,1,0,0,15.08
1913,6,4,0,14.91
1912,7,4,0,14.88
1911,6,3,0,14.78
1910,5,3,1,14.82
1909,12,6,0,14.79
1908,10,6,0,14.84
1907,5,0,0,14.87
1906,11,6,1,15.03
1905,5,1,0,14.95
1904,6,4,0,14.81
1903,10,7,0,14.84
1902,5,3,0,14.96
1901,13,6,0,15.07
1900,7,3,1,15.14
1899,10,5,1,15.05
1898,11,5,1,14.89
1897,6,3,0,15.08
1896,7,6,0,15.09
1895,6,2,0,14.97
1894,7,5,1,14.91
1893,12,10,1,14.91
1892,9,5,0,14.88
1891,10,7,0,14.94
1890,4,2,0,14.84
1889,9,6,0,15.11
1888,9,6,0,14.99
1887,19,11,0,14.82
1886,12,10,1,14.84
1885,8,6,0,14.85
1884,4,4,0,14.83
1883,4,3,0,14.96
1882,6,4,1,15.06
1881,7,4,0,15.09
1880,11,9,2,15.01
1879,8,6,0,15.06
1878,12,10,1,15.36
1877,8,3,0,15.28
1876,5,4,0,14.91
1875,6,5,0,14.92
1874,7,4,0,14.96
1873,5,3,0,15.05
1872,5,4,0,15.02
1871,8,6,0,15.01
1870,11,10,0,15
1869,10,7,0,15.07
1868,4,3,0,15.1
1867,9,7,0,15.06
1866,7,6,1,15.06
1865,7,3,0,15
1864,5,3,0,14.9
1863,9,5,0,14.94
1862,6,3,0,14.74
1861,8,6,0,14.8
1860,7,6,0,14.88
1859,8,7,0,14.93
1858,6,6,0,14.88
1857,4,3,0,14.76
1856,6,4,1,14.88
1855,5,4,0,15.02
1854,5,3,0,14.99
1853,8,4,1,14.96
1852,5,5,0,15.01
1851,6,3,0,14.99
